ds,Product,City,yhat,yhat_lower,yhat_upper
2024-03-28,Apple Watch Series 8,Adama,80.01235065137071,80.01234951709255,80.01235167212995
2024-03-29,Apple Watch Series 8,Adama,57.00708552883849,57.00708435242141,57.007086579773926
2024-03-30,Apple Watch Series 8,Adama,61.38095212165405,61.38095090861174,61.38095319770343
2024-03-31,Apple Watch Series 8,Adama,93.9784898042233,93.97848856690734,93.97849091144157
2024-04-01,Apple Watch Series 8,Adama,79.28705705473331,79.28705577666263,79.28705819178548
2024-04-02,Apple Watch Series 8,Adama,104.00561969065785,104.00561837339411,104.00562086235148
2024-04-03,Apple Watch Series 8,Adama,107.20740506279803,107.20740372287716,107.20740626884476
2024-04-04,Apple Watch Series 8,Adama,109.1248568609312,109.1248554954131,109.12485810884299
2024-04-05,Apple Watch Series 8,Adama,81.96361731584778,81.96361592438912,81.96361859879634
2024-04-06,Apple Watch Series 8,Adama,81.33595957676299,81.3359581429704,81.33596090643513
2024-04-07,Apple Watch Series 8,Adama,108.15348350325294,108.15348203402239,108.15348487121395
2024-04-08,Apple Watch Series 8,Adama,86.9905253651402,86.99052386948199,86.99052676375346
2024-04-09,Apple Watch Series 8,Adama,104.65157649550784,104.65157496770756,104.65157791606094
2024-04-10,Apple Watch Series 8,Adama,100.33208577680278,100.33208423161878,100.3320872251852
2024-04-11,Apple Watch Series 8,Adama,94.40111362972851,94.40111203230471,94.40111510704996
2024-04-12,Apple Watch Series 8,Adama,59.21260950760468,59.21260788597393,59.21261101888891
2024-04-13,Apple Watch Series 8,Adama,50.53579218630325,50.535790531095586,50.535793739211066
2024-04-14,Apple Watch Series 8,Adama,69.44451266814085,69.44451098542548,69.44451425868354
2024-04-15,Apple Watch Series 8,Adama,40.677125320242325,40.67712360621976,40.67712694912044
2024-04-16,Apple Watch Series 8,Adama,51.20024419378301,51.200242450824874,51.200245846282385
2024-04-17,Apple Watch Series 8,Adama,40.36584609697204,40.36584432322279,40.36584779003802
2024-04-18,Apple Watch Series 8,Adama,28.690277421861197,28.690275605976044,28.690279161998063
2024-04-19,Apple Watch Series 8,Adama,-11.337973553325305,-11.33797541728577,-11.337971781267193
2024-04-20,Apple Watch Series 8,Adama,-23.831171795845158,-23.83117369559648,-23.831170002332108
2024-04-21,Apple Watch Series 8,Adama,-7.61593466923248,-7.6159365925707885,-7.615932848265789
2024-04-22,Apple Watch Series 8,Adama,-37.875932313237875,-37.875934267132074,-37.875930445605704
2024-04-23,Apple Watch Series 8,Adama,-27.59024363148839,-27.59024562773835,-27.590241729108826
2024-04-24,Apple Watch Series 8,Adama,-37.3778480348792,-37.377850064920956,-37.37784609998187
2024-04-25,Apple Watch Series 8,Adama,-46.71964968585347,-46.719651764110516,-46.71964772077231
2024-04-26,Apple Watch Series 8,Adama,-83.15113965208404,-83.15114176286536,-83.15113765409714
2024-04-27,Apple Watch Series 8,Adama,-90.83511039828221,-90.83511254642761,-90.83510836769648
2024-04-28,Apple Watch Series 8,Adama,-68.67445578103121,-68.67445796218404,-68.6744537183543
2024-04-29,Apple Watch Series 8,Adama,-91.95346564097571,-91.95346785278461,-91.95346356064526
2024-04-30,Apple Watch Series 8,Adama,-73.77419645881727,-73.77419870202321,-73.77419432895705
2024-01-10,Asus ROG Gaming Laptop,Adama,8.99998274967037,8.999982746844685,8.99998275273133
2024-01-12,Asus ROG Gaming Laptop,Adama,0.9999625197484305,0.9999625167327804,0.9999625229074001
2024-01-21,Asus ROG Gaming Laptop,Adama,8.99986205765774,8.999862054779198,8.999862060699416
2024-01-22,Asus ROG Gaming Laptop,Adama,-74.97294655856207,-74.97294656204144,-74.97294655505712
2024-01-23,Asus ROG Gaming Laptop,Adama,-6.140767539837425,-6.140767543880122,-6.140767535589987
2024-01-24,Asus ROG Gaming Laptop,Adama,4.385021250161909,4.385021245305595,4.38502125491256
2024-01-25,Asus ROG Gaming Laptop,Adama,-57.05010348425253,-57.050103491714616,-57.05010347750362
2024-01-26,Asus ROG Gaming Laptop,Adama,-3.383221175354098,-3.383221190281752,-3.3832211626670845
2024-01-27,Asus ROG Gaming Laptop,Adama,-74.92909698025929,-74.92909700327334,-74.92909695934843
2024-01-28,Asus ROG Gaming Laptop,Adama,12.016297113565521,12.016297082498502,12.01629714140965
2024-01-29,Asus ROG Gaming Laptop,Adama,-69.28127317122679,-69.28127321307997,-69.28127313262047
2024-01-30,Asus ROG Gaming Laptop,Adama,2.4901012563600133,2.4901011996233136,2.490101303629902
2024-01-31,Asus ROG Gaming Laptop,Adama,16.136235149805486,16.136235080390367,16.13623520877433
2024-02-01,Asus ROG Gaming Laptop,Adama,-42.09150525292882,-42.091505335962715,-42.0915051841187
2024-02-02,Asus ROG Gaming Laptop,Adama,14.767061875085844,14.767061778293915,14.767061956177097
2024-02-03,Asus ROG Gaming Laptop,Adama,-53.711166040787994,-53.71116615145598,-53.7111659452387
2024-02-04,Asus ROG Gaming Laptop,Adama,36.06719878952516,36.06719866063333,36.06719889714439
2024-02-05,Asus ROG Gaming Laptop,Adama,-42.74155720436464,-42.74155735159611,-42.74155708016258
2024-02-06,Asus ROG Gaming Laptop,Adama,31.069682971430005,31.06968280985832,31.06968311155251
2024-02-07,Asus ROG Gaming Laptop,Adama,46.21010882355358,46.21010863695031,46.21010897841201
2024-02-08,Asus ROG Gaming Laptop,Adama,-11.1540483744267,-11.154048576786728,-11.154048201175097
2024-02-09,Asus ROG Gaming Laptop,Adama,45.86680899854316,45.86680877791787,45.866809188692194
2024-02-10,Asus ROG Gaming Laptop,Adama,-23.203758078691614,-23.20375831894883,-23.20375787670627
2024-02-11,Asus ROG Gaming Laptop,Adama,65.19379187377365,65.19379161891175,65.19379209206012
2024-02-12,Asus ROG Gaming Laptop,Adama,-15.796901972388397,-15.796902247773772,-15.796901738560491
2024-02-13,Asus ROG Gaming Laptop,Adama,55.040940665169096,55.04094037573498,55.04094091093721
2024-02-14,Asus ROG Gaming Laptop,Adama,66.44895031203345,66.44894999946452,66.4489505751368
2024-02-15,Asus ROG Gaming Laptop,Adama,4.648371687451402,4.648371355500133,4.648371973172813
2024-02-16,Asus ROG Gaming Laptop,Adama,56.6055022013685,56.60550184382768,56.605502509821726
2024-02-17,Asus ROG Gaming Laptop,Adama,-18.059265787830242,-18.05926616585671,-18.05926545456686
2024-02-18,Asus ROG Gaming Laptop,Adama,64.32838120245414,64.32838080809694,64.3283815585936
2024-02-19,Asus ROG Gaming Laptop,Adama,-22.95798007134612,-22.95798049006371,-22.957979689810916
2024-02-20,Asus ROG Gaming Laptop,Adama,41.44024525683618,41.44024481296776,41.44024565459232
2024-02-21,Asus ROG Gaming Laptop,Adama,46.41466426601603,46.41466380308879,46.414664686520744
2024-02-22,Asus ROG Gaming Laptop,Adama,-21.659379981019768,-21.659380470222008,-21.659379537206647
2024-02-23,Asus ROG Gaming Laptop,Adama,24.3383774023671,24.3383769017965,24.33837787165866
2024-02-24,Asus ROG Gaming Laptop,Adama,-55.82217886649111,-55.82217938776979,-55.82217836820624
2024-02-25,Asus ROG Gaming Laptop,Adama,21.6739716801805,21.673971127414852,21.67397219602524
2024-02-26,Asus ROG Gaming Laptop,Adama,-69.7718221816581,-69.77182275685692,-69.77182164720281
2024-02-27,Asus ROG Gaming Laptop,Adama,-8.689993458408082,-8.689994056220657,-8.689992906685267
2024-02-28,Asus ROG Gaming Laptop,Adama,-6.098225466068541,-6.098226091907187,-6.098224883422842
2024-02-29,Asus ROG Gaming Laptop,Adama,-75.55368067894925,-75.55368133594489,-75.55368007278723
2024-03-01,Asus ROG Gaming Laptop,Adama,-29.89416301321976,-29.894163701499576,-29.894162384851978
2024-03-02,Asus ROG Gaming Laptop,Adama,-109.33508515800912,-109.33508586964102,-109.33508450686774
2024-03-03,Asus ROG Gaming Laptop,Adama,-30.074875598851023,-30.074876344361627,-30.07487492255632
2024-03-04,Asus ROG Gaming Laptop,Adama,-118.75392771346179,-118.7539284795463,-118.75392701034632
2024-03-05,Asus ROG Gaming Laptop,Adama,-53.97205342818458,-53.97205422605243,-53.972052706116244
2024-03-06,Asus ROG Gaming Laptop,Adama,-46.842503312570024,-46.84250413798216,-46.842502572681965
2024-03-07,Asus ROG Gaming Laptop,Adama,-111.04198409491764,-111.0419849470613,-111.04198332660236
2024-03-08,Asus ROG Gaming Laptop,Adama,-59.54889823940154,-59.54889911300338,-59.548897441525654
2024-03-09,Asus ROG Gaming Laptop,Adama,-132.73674999682356,-132.73675088669484,-132.73674916712213
2024-03-10,Asus ROG Gaming Laptop,Adama,-46.97544471628369,-46.97544563425262,-46.975443851690805
2024-03-11,Asus ROG Gaming Laptop,Adama,-129.08569292249408,-129.08569387159568,-129.08569203525965
2024-03-12,Asus ROG Gaming Laptop,Adama,-57.85160475482713,-57.85160572538098,-57.85160385306722
2024-03-13,Asus ROG Gaming Laptop,Adama,-44.56967036600421,-44.56967137010013,-44.569669436442545
2024-03-14,Asus ROG Gaming Laptop,Adama,-103.09369784075454,-103.09369888087386,-103.09369689178274
2024-03-15,Asus ROG Gaming Laptop,Adama,-46.56807676683482,-46.568077835474114,-46.56807579036516
2024-03-16,Asus ROG Gaming Laptop,Adama,-115.51645412094618,-115.51645521987916,-115.51645311318944
2024-03-17,Asus ROG Gaming Laptop,Adama,-26.43868622354644,-26.438687359427174,-26.438685172627906
2024-03-18,Asus ROG Gaming Laptop,Adama,-106.26140589409798,-106.26140707274543,-106.26140480385281
2024-03-19,Asus ROG Gaming Laptop,Adama,-33.84740496611663,-33.847406184380176,-33.84740385352345
2024-03-20,Asus ROG Gaming Laptop,Adama,-20.542125797785303,-20.542127054440154,-20.542124653338895
2024-03-21,Asus ROG Gaming Laptop,Adama,-80.21691189472563,-80.21691318576126,-80.21691071105322
2024-03-22,Asus ROG Gaming Laptop,Adama,-26.001442380998043,-26.00144370534037,-26.00144116045805
2024-03-23,Asus ROG Gaming Laptop,Adama,-98.372469781939,-98.37247113791479,-98.37246851398088
2024-03-24,Asus ROG Gaming Laptop,Adama,-13.751732726505878,-13.751734115452164,-13.751731435606356
2024-03-25,Asus ROG Gaming Laptop,Adama,-98.95836509090965,-98.95836650859242,-98.95836375078306
2024-03-26,Asus ROG Gaming Laptop,Adama,-32.72095895842544,-32.720960408374424,-32.72095757863034
2024-03-27,Asus ROG Gaming Laptop,Adama,-26.22750804137759,-26.227509525334085,-26.227506626755865
2024-03-28,Asus ROG Gaming Laptop,Adama,-93.17279215941943,-93.17279367291857,-93.17279070847495
2024-03-29,Asus ROG Gaming Laptop,Adama,-46.49551781691582,-46.49551936198665,-46.49551631226935
2024-03-30,Asus ROG Gaming Laptop,Adama,-126.47220740576658,-126.47220897970762,-126.47220585801196
2024-03-31,Asus ROG Gaming Laptop,Adama,-49.32056790879915,-49.32056950957507,-49.320566316230895
2024-04-01,Asus ROG Gaming Laptop,Adama,-141.65751001809656,-141.6575116488833,-141.65750838987233
2024-04-02,Asus ROG Gaming Laptop,Adama,-82.01681870519619,-82.01682036113766,-82.01681704160048
2024-04-03,Asus ROG Gaming Laptop,Adama,-81.40454426051267,-81.40454594983372,-81.40454258656189
2024-04-04,Asus ROG Gaming Laptop,Adama,-153.3515199151644,-153.35152164299978,-153.3515182062466
2024-04-05,Asus ROG Gaming Laptop,Adama,-110.6551741745956,-110.65517594021915,-110.65517241874241
2024-04-06,Asus ROG Gaming Laptop,Adama,-193.47749528082016,-193.4774970863508,-193.47749346768023
2024-04-07,Asus ROG Gaming Laptop,Adama,-117.95175930023952,-117.95176114456773,-117.95175743740185
2024-04-08,Asus ROG Gaming Laptop,Adama,-210.64309259693073,-210.64309447369237,-210.64309069948328
2024-04-09,Asus ROG Gaming Laptop,Adama,-150.06779181559648,-150.06779372188063,-150.0677898840251
2024-04-10,Asus ROG Gaming Laptop,Adama,-147.2494170664207,-147.24941902205683,-147.24941508980243
2024-04-11,Asus ROG Gaming Laptop,Adama,-215.7710374280931,-215.7710394167428,-215.77103540283503
2024-04-12,Asus ROG Gaming Laptop,Adama,-168.5157971292772,-168.51579914887168,-168.51579506168835
2024-04-13,Asus ROG Gaming Laptop,Adama,-245.76268755734236,-245.7626896079094,-245.76268543778735
2024-04-14,Asus ROG Gaming Laptop,Adama,-163.79019116923882,-163.7901932422274,-163.7901890059654
2024-04-15,Asus ROG Gaming Laptop,Adama,-249.33294819153974,-249.33295031950004,-249.33294599143193
2024-04-16,Asus ROG Gaming Laptop,Adama,-181.09647279937943,-181.0964749514405,-181.09647054147706
2024-04-17,Asus ROG Gaming Laptop,Adama,-170.3080587380897,-170.30806093476428,-170.30805644320162
2024-04-18,Asus ROG Gaming Laptop,Adama,-230.76339508264147,-230.7633973285021,-230.76339273821915
2024-04-19,Asus ROG Gaming Laptop,Adama,-175.5612155552638,-175.5612178535121,-175.56121315577494
2024-04-20,Asus ROG Gaming Laptop,Adama,-245.19303076146497,-245.19303309296023,-245.19302830850674
2024-01-08,Blender Bottle,Adama,1.9998628249643007,1.9998628238797673,1.9998628261063087
2024-01-16,Blender Bottle,Adama,6.000075498248361,6.0000754972117925,6.000075499311915
2024-01-21,Blender Bottle,Adama,8.000014312327032,8.000014311259916,8.00001431344258
2024-01-28,Blender Bottle,Adama,9.000015638439045,9.000015637344953,9.000015639512824
2024-01-31,Blender Bottle,Adama,3.9999859918576277,3.9999859906429185,3.999985993023518
2024-02-03,Blender Bottle,Adama,4.000018789293691,4.000018788171387,4.000018790409092
